Date,SGS,Swisscom,Givaudan,Zurich Insurance Group,Novartis,Roche,Credit Suisse,LafargeHolcim,ABB,Swatch Group,Lonza,Swiss Life Holding,Partners Group,Geberit,Nestle,Swiss Re,Richemont,UBS,Sika,Alcon
2016-04-18,1790.9765625,395.4570007324219,1715.161865234375,160.5150146484375,53.85092544555664,212.1732635498047,11.300795555114746,39.2860107421875,15.001298904418945,297.01666259765625,146.421630859375,203.57534790039062,342.35467529296875,322.6689147949219,64.82643127441406,69.3496322631836,57.59060287475586,11.148014068603516,5.807143211364746,
2016-04-19,1827.6141357421875,401.74798583984375,1720.4801025390625,164.7050323486328,54.1063117980957,216.3401641845703,11.464068412780762,39.15998840332031,15.203701972961426,302.5169982910156,147.57508850097656,205.23880004882812,347.5583190917969,324.92474365234375,66.03187561035156,70.13387298583984,58.21464920043945,11.348234176635742,5.871344566345215,
2016-04-20,1841.24658203125,403.7388000488281,1716.04833984375,165.77157592773438,54.03335189819336,215.65988159179688,11.83708667755127,39.73495101928711,15.787565231323242,305.6219787597656,142.3395233154297,204.44668579101562,340.1865234375,322.6689147949219,65.94258880615234,70.65670776367188,59.41817092895508,11.584210395812988,6.086876392364502,
2016-04-21,1823.3538818359375,398.1644592285156,1696.5478515625,165.54302978515625,54.398193359375,215.31968688964844,11.829352378845215,38.86069869995117,15.79534912109375,296.39569091796875,141.54054260253906,202.62481689453125,337.1510925292969,320.232666015625,65.4961166381836,70.02184295654297,58.303802490234375,11.484097480773926,6.053244113922119,
2016-04-22,1823.3538818359375,391.4753723144531,1699.20703125,165.0859375,54.3617057800293,214.2992401123047,11.767169952392578,38.3802604675293,15.818702697753906,291.4276428222656,142.60585021972656,201.67425537109375,343.2219543457031,320.1424560546875,64.60320281982422,69.79776763916016,57.100284576416016,11.577059745788574,6.138843059539795,
2016-04-25,1835.2823486328125,391.3160705566406,1702.75244140625,163.7908477783203,54.50764846801758,211.66302490234375,11.456254959106445,37.632022857666016,15.686359405517578,290.71795654296875,144.11378479003906,200.32765197753906,342.35467529296875,317.70623779296875,64.6478500366211,69.27494049072266,57.14485549926758,11.584210395812988,6.091462135314941,
2016-04-26,1828.466064453125,392.7494812011719,1700.0933837890625,165.3144989013672,54.4346809387207,210.21734619140625,11.627257347106934,37.58476638793945,15.873193740844727,289.830810546875,146.82012939453125,201.11976623535156,344.3060607910156,317.5257263183594,64.6478500366211,69.78575897216797,57.456878662109375,11.841634750366211,6.097570896148682,
2016-04-27,1837.8385009765625,392.0327453613281,1695.6614990234375,165.3144989013672,54.47115707397461,211.32284545898438,11.619524002075195,37.915565490722656,15.951044082641602,291.6937561035156,146.00860595703125,198.9810333251953,346.04058837890625,319.7815246582031,64.78178405761719,69.3142318725586,57.76890563964844,11.8702392578125,6.203044414520264,
2016-04-28,1824.2059326171875,390.5197448730469,1690.3431396484375,165.39065551757812,54.58061599731445,210.3023681640625,11.805994033813477,38.30149459838867,15.943258285522461,292.669677734375,146.36907958984375,199.9648895263672,344.7397155761719,336.11346435546875,64.73714447021484,69.47140502929688,57.90262222290039,12.013253211975098,6.264190673828125,
2016-04-29,1798.64501953125,387.4140625,1675.2744140625,163.5623016357422,53.41310119628906,206.22048950195312,11.3241548538208,38.25423812866211,15.787565231323242,290.62921142578125,144.02317810058594,198.48912048339844,342.571533203125,332.32373046875,63.844207763671875,66.87801361083984,56.877410888671875,11.8702392578125,6.241262435913086,
2016-05-02,1817.3896484375,390.0419006347656,1696.5478515625,164.40029907226562,53.449588775634766,206.3905792236328,11.29306411743164,37.513885498046875,15.803131103515625,292.75836181640625,146.00860595703125,200.3748016357422,345.8237609863281,334.6697692871094,64.11209106445312,67.07447814941406,57.59060287475586,11.820183753967285,6.236676216125488,
2016-05-03,1805.461181640625,392.0327453613281,1684.1383056640625,161.65774536132812,53.011775970458984,204.51971435546875,10.74896240234375,35.198307037353516,15.67078971862793,285.39508056640625,145.64718627929688,195.61961364746094,341.4874267578125,330.9702453613281,63.53168869018555,67.66389465332031,55.673892974853516,10.933491706848145,6.241262435913086,
2016-05-04,1785.864501953125,384.4676208496094,1667.296875,159.21994018554688,52.06317138671875,201.2031707763672,10.585772514343262,34.96202850341797,15.468385696411133,280.9593200683594,143.8429412841797,194.47178649902344,343.0051574707031,328.624267578125,62.95128631591797,67.34954071044922,55.18356704711914,10.740421295166016,6.248902320861816,
2016-05-06,1780.7523193359375,379.2118835449219,1685.0247802734375,159.37229919433594,51.62535095214844,199.0771942138672,10.445859909057617,34.37131118774414,15.569589614868164,278.47528076171875,144.92527770996094,195.78358459472656,341.2705993652344,328.2633361816406,63.39774703979492,67.34954071044922,54.60409927368164,10.797627449035645,6.328392028808594,
2016-05-09,1778.1961669921875,381.9990234375,1700.9796142578125,160.8959503173828,52.57395553588867,204.26458740234375,10.438128471374512,33.93812942504883,15.47616958618164,280.8706359863281,147.54202270507812,194.8817138671875,345.60693359375,328.9851989746094,63.799556732177734,68.52835083007812,54.960693359375,10.890585899353027,6.2534871101379395,
2016-05-10,1785.864501953125,382.476806640625,1715.161865234375,163.9431915283203,53.41310119628906,207.66616821289062,10.958869934082031,34.261051177978516,15.655220031738281,290.98406982421875,149.88888549804688,197.34130859375,347.991943359375,331.51165771484375,64.55855560302734,68.68553161621094,56.03048324584961,11.140862464904785,6.401765823364258,
