Date,SMI20
2016-04-18,8044.60009765625
2016-04-19,8152.759765625
2016-04-20,8186.97021484375
2016-04-21,8159.669921875
2016-04-22,8109.43994140625
2016-04-25,8079.89013671875
2016-04-26,8077.18017578125
2016-04-27,8096.759765625
2016-04-28,8099.419921875
2016-04-29,7960.85009765625
2016-05-02,7977.77001953125
2016-05-03,7850.68017578125
2016-05-04,7752.97021484375
2016-05-06,7735.60009765625
2016-05-09,7824.9501953125
2016-05-10,7934.93017578125
2016-05-11,7937.8798828125
2016-05-12,7885.85009765625
2016-05-13,7925.759765625
2016-05-17,7906.759765625
2016-05-18,7973.93017578125
2016-05-19,7908.7900390625
2016-05-20,7997.2998046875
2016-05-23,8038.4599609375
2016-05-24,8125.240234375
2016-05-25,8167.60986328125
2016-05-26,8229.5498046875
2016-05-27,8292.4501953125
2016-05-30,8277.830078125
2016-05-31,8216.419921875
2016-06-01,8185.52978515625
2016-06-02,8205.8203125
2016-06-03,8148.39990234375
2016-06-06,8165.97998046875
2016-06-07,8215.7802734375
2016-06-08,8143.759765625
2016-06-09,8076.35009765625
2016-06-10,7922.7099609375
2016-06-13,7782.35009765625
2016-06-14,7638.77001953125
2016-06-15,7679.490234375
2016-06-16,7634.66015625
2016-06-17,7713.60986328125
2016-06-20,7900.22021484375
2016-06-21,7935.75
2016-06-22,7972.14013671875
2016-06-23,8023.0498046875
2016-06-24,7747.18017578125
2016-06-27,7594.490234375
2016-06-28,7773.7998046875
2016-06-29,7978.9599609375
2016-06-30,8020.14990234375
2016-07-01,8085.2099609375
2016-07-04,8056.7099609375
2016-07-05,7941.669921875
2016-07-06,7898.2099609375
2016-07-07,7964.22998046875
2016-07-08,8037.93994140625
2016-07-11,8117.10986328125
2016-07-12,8143.1298828125
2016-07-13,8142.330078125
2016-07-14,8174.02001953125
2016-07-15,8156.259765625
2016-07-18,8161.60009765625
2016-07-19,8111.47998046875
2016-07-20,8197.4296875
2016-07-21,8182.4501953125
2016-07-22,8194.73046875
2016-07-25,8194.41015625
2016-07-26,8227.2001953125
2016-07-27,8221.330078125
2016-07-28,8095.06982421875
2016-07-29,8127.2001953125
2016-08-02,8011.240234375
2016-08-03,8010.10009765625
2016-08-04,8081.14013671875
2016-08-05,8194.33984375
2016-08-08,8168.83984375
2016-08-09,8229.419921875
2016-08-10,8208.900390625
2016-08-11,8296.1396484375
2016-08-12,8295.0400390625
2016-08-15,8305.2802734375
2016-08-16,8215.4501953125
2016-08-17,8153.7998046875
2016-08-18,8189.72998046875
2016-08-19,8127.27978515625
2016-08-22,8157.85009765625
2016-08-23,8201.6103515625
2016-08-24,8199.830078125
2016-08-25,8141.27978515625
2016-08-26,8168.31982421875
2016-08-29,8184.08984375
2016-08-30,8236.009765625
2016-08-31,8202.1298828125
2016-09-01,8142.64013671875
2016-09-02,8294.2998046875
2016-09-05,8310.3701171875
2016-09-06,8304.33984375
2016-09-07,8320.990234375
2016-09-08,8315.2001953125
2016-09-09,8264.1298828125
2016-09-12,8206.2001953125
2016-09-13,8174.72998046875
2016-09-14,8162.64990234375
2016-09-15,8184.83984375
2016-09-16,8130.43994140625
2016-09-19,8195.7099609375
2016-09-20,8237.5400390625
2016-09-21,8226.4697265625
2016-09-22,8307.6298828125
2016-09-23,8272.8896484375
2016-09-26,8165.0498046875
2016-09-27,8175.419921875
2016-09-28,8220.0703125
2016-09-29,8164.2001953125
2016-09-30,8139.009765625
2016-10-03,8166.31982421875
2016-10-04,8230.73046875
2016-10-05,8195.23046875
2016-10-06,8170.43994140625
2016-10-07,8124.58984375
2016-10-10,8172.22021484375
2016-10-11,8135.14990234375
2016-10-12,8068.56005859375
2016-10-13,7999.93017578125
2016-10-14,8089.91015625
2016-10-17,8000.9599609375
2016-10-18,8074.68994140625
2016-10-19,8093.77978515625
2016-10-20,8069.27001953125
2016-10-21,8034.85986328125
2016-10-24,7991.8798828125
2016-10-25,7929.8701171875
2016-10-26,7892.77001953125
2016-10-27,7924.39013671875
2016-10-28,7908.56982421875
2016-10-31,7827.740234375
2016-11-01,7761.33984375
2016-11-02,7700.41015625
2016-11-03,7640.93994140625
2016-11-04,7593.2001953125
2016-11-07,7735.22021484375
2016-11-08,7744.02978515625
2016-11-09,7897.83984375
2016-11-10,7928.77001953125
2016-11-11,7880.2900390625
2016-11-14,7896.85009765625
2016-11-15,7909.2001953125
2016-11-16,7914.02001953125
2016-11-17,7964.68017578125
2016-11-18,7904.5498046875
2016-11-21,7849.85986328125
2016-11-22,7741.81982421875
2016-11-23,7752.240234375
2016-11-24,7798.5
2016-11-25,7881.52978515625
2016-11-28,7823.22998046875
2016-11-29,7845.009765625
2016-11-30,7875.18994140625
2016-12-01,7779.10986328125
2016-12-02,7784.009765625
2016-12-05,7845.68017578125
2016-12-06,7912.39013671875
2016-12-07,7930.25
2016-12-08,7953.68017578125
2016-12-09,8099.6298828125
2016-12-12,8040.08984375
2016-12-13,8162.52978515625
2016-12-14,8140.41015625
2016-12-15,8214.2998046875
2016-12-16,8227.7197265625
