Date,SGS,Swisscom,Givaudan,Zurich Insurance Group,Novartis,Roche,Credit Suisse,LafargeHolcim,ABB,Swatch Group,Lonza,Swiss Life Holding,Partners Group,Geberit,Nestle,Swiss Re,Richemont,UBS,Sika,Alcon
2016-05-27,21340.0,191030.0,25938.0,661594.0,5136426.0,3643657.0,10170698.0,1029380.0,7492259.0,224791.0,135966.0,122601.0,45266.0,99579.0,4759061.0,1603348.0,2083660.0,10210486.0,163560.0,
2016-05-30,9725.0,117126.0,15957.0,411391.0,3311582.0,1161462.0,6526931.0,599804.0,3389338.0,121661.0,71714.0,76021.0,17794.0,79795.0,2284456.0,721006.0,1138272.0,5188514.0,132060.0,
2016-05-31,31642.0,166333.0,40476.0,787176.0,5629845.0,2011631.0,15135926.0,1427670.0,23766961.0,269504.0,227739.0,251750.0,127279.0,124663.0,7317895.0,2912375.0,2103114.0,19104255.0,307260.0,
2016-06-01,20744.0,157163.0,23218.0,573342.0,4111595.0,1044888.0,18285526.0,1389429.0,6476066.0,186056.0,154023.0,160579.0,64357.0,98501.0,3911532.0,1431533.0,1982112.0,12734139.0,309540.0,
2016-06-02,11805.0,154512.0,18385.0,535927.0,6408330.0,1127459.0,14300624.0,1074425.0,6117682.0,202635.0,120257.0,144527.0,51738.0,99909.0,4260958.0,1347979.0,1801023.0,13945963.0,253320.0,
2016-06-03,15541.0,246425.0,28446.0,663994.0,5300296.0,1401144.0,16111655.0,1267255.0,5926110.0,163623.0,135633.0,142193.0,53791.0,107148.0,4491128.0,1301218.0,2132035.0,17260664.0,262800.0,
2016-06-06,13616.0,234643.0,27465.0,699507.0,2969337.0,876919.0,10803526.0,903547.0,5201653.0,191702.0,85145.0,92012.0,26877.0,56192.0,4230705.0,792467.0,1480032.0,8901038.0,284160.0,
2016-06-07,13176.0,165037.0,24943.0,598254.0,4378164.0,1313087.0,10681018.0,960407.0,6064528.0,319735.0,108378.0,148560.0,30966.0,65868.0,4586850.0,819180.0,1843651.0,12313931.0,262920.0,
2016-06-08,10525.0,150089.0,26246.0,594111.0,5625743.0,1309191.0,10204972.0,1201739.0,6275686.0,300938.0,98215.0,145178.0,41122.0,71319.0,4329532.0,1017281.0,2516860.0,10391252.0,170280.0,
2016-06-09,14842.0,143572.0,28776.0,839069.0,4597291.0,1181032.0,13552048.0,1297417.0,6465656.0,197153.0,150302.0,137252.0,31047.0,105620.0,5445141.0,1040807.0,1568378.0,11684354.0,225780.0,
2016-06-10,21581.0,209281.0,27134.0,1082588.0,5987534.0,1702709.0,15422227.0,2667959.0,8375269.0,294641.0,262963.0,223293.0,49599.0,167355.0,5838490.0,1414838.0,2234177.0,18916304.0,267840.0,
2016-06-13,29514.0,167520.0,35565.0,899176.0,7835340.0,1933836.0,17924868.0,2535904.0,8728233.0,218936.0,187437.0,154771.0,47533.0,145199.0,6773399.0,1528225.0,1994332.0,13879075.0,222660.0,
2016-06-14,33938.0,190506.0,37177.0,1177570.0,9209586.0,2122861.0,23243925.0,2520562.0,8905697.0,404729.0,260475.0,192451.0,75085.0,173323.0,9928700.0,2587315.0,2807512.0,22143296.0,309360.0,
2016-06-15,17519.0,183577.0,34890.0,1107636.0,6501034.0,1358500.0,18185326.0,2169112.0,7756249.0,237831.0,150432.0,145638.0,64434.0,135123.0,6251077.0,1471243.0,1888284.0,14780946.0,276960.0,
2016-06-16,21346.0,146778.0,30131.0,916601.0,8149878.0,1758634.0,22077663.0,2387771.0,8844757.0,236209.0,206283.0,221154.0,88962.0,171321.0,8171589.0,1809114.0,2518783.0,16271935.0,277620.0,
2016-06-17,37984.0,343322.0,56407.0,1455007.0,30190557.0,4404290.0,27918260.0,3849638.0,16866479.0,341709.0,407729.0,310544.0,245767.0,447099.0,19937805.0,3665828.0,4484068.0,35621833.0,555180.0,
2016-06-20,23572.0,155932.0,28999.0,711774.0,6567547.0,1360471.0,17751726.0,1718356.0,9174575.0,197305.0,199881.0,213045.0,95063.0,205611.0,7555310.0,1290682.0,2325515.0,13047501.0,315960.0,
2016-06-21,12738.0,136102.0,19656.0,554050.0,5364123.0,1242071.0,13717431.0,1036339.0,7311185.0,261536.0,122810.0,153395.0,37860.0,134985.0,5546000.0,1067988.0,2215526.0,17979633.0,241320.0,
2016-06-22,13824.0,212496.0,15803.0,985763.0,5890568.0,1758892.0,12964892.0,1315649.0,4862306.0,194944.0,139038.0,111773.0,54353.0,105469.0,5371230.0,886691.0,1595592.0,13824281.0,181380.0,
2016-06-23,14923.0,173809.0,19971.0,737052.0,4510906.0,1376274.0,15281414.0,1279328.0,4450988.0,205729.0,131523.0,135364.0,44952.0,163067.0,5185269.0,1250472.0,1616737.0,14495603.0,227820.0,
2016-06-24,44997.0,356377.0,48748.0,1590645.0,11950947.0,3137819.0,48017860.0,4297113.0,16297647.0,595749.0,324565.0,340870.0,108362.0,319820.0,13842075.0,2933108.0,5638974.0,45298678.0,460440.0,
2016-06-27,32431.0,278726.0,34926.0,1087008.0,7065692.0,2197177.0,47044041.0,3406549.0,10081432.0,365730.0,213426.0,288277.0,101561.0,259551.0,9240880.0,2247086.0,3460545.0,32943709.0,488220.0,
2016-06-28,26070.0,205024.0,43818.0,855436.0,8172736.0,1722031.0,38270037.0,2450593.0,9174601.0,380769.0,174202.0,230396.0,66562.0,171208.0,12977333.0,2133230.0,3113770.0,30422964.0,405420.0,
2016-06-29,19638.0,193424.0,49586.0,904385.0,7495737.0,1709366.0,21390942.0,1713882.0,8851355.0,347766.0,147268.0,242040.0,56995.0,136273.0,12669445.0,1522451.0,2527782.0,21338874.0,228900.0,
2016-06-30,26071.0,219528.0,27421.0,884069.0,8132955.0,1777839.0,19594455.0,2623497.0,8513322.0,222480.0,240136.0,251204.0,48856.0,177838.0,10645242.0,1673272.0,2251557.0,24304862.0,299280.0,
2016-07-01,17827.0,174784.0,24619.0,1033337.0,5385271.0,1127099.0,15530819.0,1828033.0,5575080.0,166622.0,190014.0,146035.0,46864.0,119798.0,8091878.0,1446636.0,1439598.0,17722783.0,170040.0,
2016-07-04,11355.0,135917.0,14816.0,518816.0,3945607.0,818686.0,11642068.0,1303387.0,2901144.0,141648.0,105260.0,136499.0,27846.0,82992.0,5077645.0,714119.0,832752.0,7710005.0,259800.0,
2016-07-05,17809.0,112874.0,19695.0,583908.0,4610106.0,1049423.0,15173896.0,1380304.0,4890963.0,203953.0,196523.0,216620.0,40661.0,144790.0,6345292.0,1176138.0,1873887.0,15096121.0,202740.0,
2016-07-06,17313.0,127755.0,25813.0,643222.0,5392320.0,1630586.0,23973624.0,2036653.0,6016766.0,249532.0,265711.0,248891.0,59567.0,122013.0,8746239.0,1328131.0,2118982.0,22582636.0,278700.0,
2016-07-07,15272.0,106345.0,28127.0,647346.0,4703290.0,1200657.0,16604448.0,1720664.0,6201095.0,232665.0,196685.0,180202.0,39213.0,106559.0,7595505.0,1424625.0,1583227.0,14757913.0,224400.0,
2016-07-08,11883.0,99620.0,29663.0,598810.0,5601296.0,1035435.0,16218769.0,1690390.0,6864754.0,220494.0,141130.0,311904.0,31198.0,105566.0,6640748.0,1258680.0,2122067.0,19619224.0,180960.0,
2016-07-11,16777.0,96844.0,25057.0,451941.0,3828340.0,931756.0,14242401.0,2118543.0,6790103.0,224024.0,136360.0,183258.0,46830.0,121445.0,6275296.0,1064262.0,2330309.0,14250986.0,230340.0,
2016-07-12,17848.0,125087.0,22643.0,651386.0,6270537.0,1877043.0,25808253.0,1796833.0,6042071.0,258125.0,126560.0,191977.0,46341.0,111249.0,8649433.0,1233392.0,2310516.0,21944570.0,213180.0,
2016-07-13,17258.0,86376.0,29145.0,733740.0,5023576.0,1418052.0,23953678.0,2225397.0,4701210.0,172654.0,224950.0,275037.0,46132.0,86226.0,6989148.0,894121.0,1608476.0,20781393.0,217740.0,
